#group,false,false,false,false,false
#datatype,double,double,string,double,dateTime:RFC3339
#default,,,,,
,humidity,light,node_id,temperature,time
,70.2,0,smart_art_1,19.6,2025-12-12T23:52:58.901773Z
,70.3,0,smart_art_1,19.5,2025-12-12T23:57:58.894494Z
,68.7,0,smart_art_1,19.2,2025-12-14T00:04:03.489043Z
,68.7,0,smart_art_1,19.2,2025-12-14T00:09:03.483151Z
,68.8,0,smart_art_1,19.2,2025-12-14T00:14:03.516754Z
,69,0,smart_art_1,19.2,2025-12-14T00:19:03.541431Z
,69.1,0,smart_art_1,19.2,2025-12-14T00:25:35.570787Z
,69.2,0,smart_art_1,19.2,2025-12-14T00:30:35.649236Z
,69.3,0,smart_art_1,19.2,2025-12-14T00:35:35.565342Z
,69.5,0,smart_art_1,19.1,2025-12-14T00:40:35.567277Z
,69.6,0,smart_art_1,19.1,2025-12-14T00:45:35.616711Z
,69.8,0,smart_art_1,19.1,2025-12-14T00:50:35.555085Z
,69.8,0,smart_art_1,19.1,2025-12-14T00:55:35.575638Z
,69.9,0,smart_art_1,19.1,2025-12-14T01:00:35.599221Z
,69.9,0,smart_art_1,19.1,2025-12-14T01:05:35.6336Z
,70.1,0,smart_art_1,19,2025-12-14T01:10:35.652677Z
,70.2,0,smart_art_1,19,2025-12-14T01:15:35.584029Z
,70.3,0,smart_art_1,19,2025-12-14T01:20:35.60975Z
,70.4,0,smart_art_1,19,2025-12-14T01:25:35.539504Z
,70.6,0,smart_art_1,19,2025-12-14T01:30:35.552363Z
,70.6,0,smart_art_1,19,2025-12-14T01:35:35.577566Z
,70.7,0,smart_art_1,19,2025-12-14T01:40:35.528064Z
,70.8,0,smart_art_1,19,2025-12-14T01:45:35.644374Z
,70.7,0,smart_art_1,18.9,2025-12-14T01:50:35.569789Z
,70.8,0,smart_art_1,18.9,2025-12-14T01:55:35.515029Z
,70.9,0,smart_art_1,18.9,2025-12-14T02:02:19.841621Z
,71.1,0,smart_art_1,18.9,2025-12-14T02:07:19.844678Z
,71.1,0,smart_art_1,18.9,2025-12-14T02:12:19.839277Z
,71.1,0,smart_art_1,18.9,2025-12-14T02:17:19.930498Z
,71.2,0,smart_art_1,18.9,2025-12-14T02:22:19.868129Z
,71.3,0,smart_art_1,18.8,2025-12-14T02:27:19.886398Z
,71.3,0,smart_art_1,18.8,2025-12-14T02:32:19.913238Z
,71.4,0,smart_art_1,18.8,2025-12-14T02:37:19.813461Z
,71.5,0,smart_art_1,18.8,2025-12-14T02:42:19.870069Z
,71.4,0,smart_art_1,18.8,2025-12-14T02:47:19.882607Z
